,Request #,Status,Request Type,Subrequest Type,Additional Subrequest Type,Date / Time Opened,Date / Time Closed,Request Origin,System of Origin ID,Contact Type,Preferred Language,State Issue,Parent Request,Closed When Created,Address,City,Council District,ZIP,Latitude,Longitude,Mapped Location
2257,330463,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/21/2020 12:58:21 AM,03/24/2020 03:13:38 PM,hubNashville Community,,,,False,,False,1005 9th Ave S,NASHVILLE,17.0,37203.0,36.14496199787841,-86.78084040480938,"(36.14496199787841, -86.78084040480937)"
2449,102477,In Progress,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,09/24/2018 06:29:49 PM,,hubNashville Community,,,,False,,False,2165 24th Ave N,NASHVILLE,2.0,37208.0,36.187695,-86.8155309,"(36.187695, -86.8155309)"
2793,334024,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/27/2020 01:57:43 AM,04/16/2020 07:12:14 AM,hubNashville Community,,,,False,,False,814 Inverness Ave,NASHVILLE,17.0,37204.0,36.1247208,-86.7789422,"(36.1247208, -86.7789422)"
2948,334949,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/29/2020 08:00:20 PM,04/03/2020 08:12:15 AM,hubNashville Community,,,,False,334948.0,False,1610 Wheless St,NASHVILLE,21.0,37208.0,36.176932,-86.807955,"(36.176932, -86.807955)"
3059,334870,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/28/2020 10:31:53 PM,03/30/2020 04:33:32 PM,hubNashville Community,,,,False,,False,1044 Mulberry Way,NASHVILLE,3.0,37207.0,36.25427089999999,-86.76672649999998,"(36.25427089999999, -86.76672649999999)"
3110,334285,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/27/2020 04:05:51 PM,04/22/2020 07:11:42 AM,hubNashville Community,,,,False,334272.0,False,637 Rocky Mountain Pkwy,ANTIOCH,28.0,37013.0,36.08467,-86.65664,"(36.08467, -86.65664)"
3540,339751,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,04/06/2020 12:08:35 AM,04/16/2020 07:12:43 AM,Mobile App,,,,False,,False,119 Elmhurst Ave,NASHVILLE,5.0,37207.0,36.1962114,-86.77373539999998,"(36.1962114, -86.77373539999999)"
4327,327790,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/17/2020 07:09:00 PM,03/20/2020 07:55:45 PM,Phone,,,,False,,False,1224 2nd Ave S,NASHVILLE,17.0,37210.0,36.14458,-86.76364000000001,"(36.14458, -86.76364)"
4709,371414,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/19/2020 12:25:07 PM,05/27/2020 07:18:28 AM,hubNashville Community,,,,False,,False,321 S 11th St,NASHVILLE,6.0,37206.0,36.1724153,-86.750339,"(36.1724153, -86.750339)"
4885,323752,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/10/2020 12:10:34 PM,03/13/2020 03:55:51 PM,hubNashville Community,,,,False,,False,210 Anne Dallas Dudley Blvd,NASHVILLE,19.0,37219.0,36.163000000000004,-86.78200000000001,"(36.163, -86.782)"
5107,427134,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,07/26/2020 09:51:46 PM,07/29/2020 08:01:32 PM,hubNashville Community,,,,False,,False,4911B Kentucky Ave,NASHVILLE,20.0,37209.0,36.15958,-86.8473,"(36.15958, -86.8473)"
5570,241148,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,09/03/2019 04:09:44 PM,04/16/2020 07:00:57 AM,Mobile App,,,,False,189914.0,False,1103 13th Ave S,NASHVILLE,19.0,37212.0,36.143598452882266,-86.78842954337597,"(36.143598452882266, -86.78842954337597)"
10065,403193,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,06/29/2020 05:23:24 PM,07/01/2020 04:28:52 PM,hubNashville Community,,,,False,,False,600 S 12th St,NASHVILLE,6.0,37206.0,36.16923,-86.74995,"(36.16923, -86.74995)"
15716,334023,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/27/2020 01:55:44 AM,04/16/2020 07:12:14 AM,hubNashville Community,,,,False,334024.0,False,814 Inverness Ave,NASHVILLE,17.0,37204.0,36.12472,-86.77894,"(36.12472, -86.77894)"
19237,338747,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,04/03/2020 05:14:45 PM,04/16/2020 07:13:02 AM,hubNashville Community,,,,False,,False,1213A Tremont Ave,NASHVILLE,19.0,37212.0,36.14387670000001,-86.7892123,"(36.1438767, -86.7892123)"
19634,326267,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/13/2020 06:53:31 PM,03/17/2020 08:35:05 PM,hubNashville Community,,,,False,,False,523 Weakley Ave,NASHVILLE,5.0,37207.0,36.19729139999999,-86.78189859999998,"(36.19729139999999, -86.78189859999999)"
20184,349623,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,04/21/2020 01:37:38 PM,04/21/2020 01:48:04 PM,Phone,,,,False,,False,906 Caruthers Ave,NASHVILLE,17.0,37204.0,36.1256817,-86.783937,"(36.1256817, -86.783937)"
20269,349154,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,04/20/2020 05:05:06 PM,04/21/2020 03:03:43 PM,hubNashville Community,,,,False,,False,1506 Phillips St,NASHVILLE,19.0,37208.0,36.16863,-86.80158,"(36.16863, -86.80158)"
20380,339573,Assigned,Permits,Short Term Rental Permit,Short Term Rental Permit,04/05/2020 03:25:43 PM,,hubNashville Community,,,,False,,False,4810 Briarwood Dr,,,,36.07787301157071,-86.75359985,"(36.07787301157071, -86.75359985)"
20459,442293,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,08/11/2020 02:48:53 PM,08/11/2020 06:29:06 PM,hubNashville Community,,,,False,,False,136 Lucile St,NASHVILLE,5.0,37207.0,36.1958066,-86.76854300000001,"(36.1958066, -86.768543)"
23081,326632,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/14/2020 09:30:13 PM,03/25/2020 08:12:31 AM,hubNashville Community,,,,False,,False,1005 9th Ave S,NASHVILLE,17.0,37203.0,36.14497337197066,-86.7808664971462,"(36.144973371970664, -86.7808664971462)"
24148,341648,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,04/07/2020 08:42:13 PM,04/25/2020 07:12:50 AM,hubNashville Community,,,,False,,False,1024 15th Ave S,NASHVILLE,19.0,37212.0,36.14485006159916,-86.790314,"(36.14485006159916, -86.790314)"
24305,349548,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,04/21/2020 05:43:48 AM,04/25/2020 07:15:17 AM,hubNashville Community,,,,False,,False,119 Mason Ave,NASHVILLE,21.0,37203.0,36.14381489999999,-86.81966790000001,"(36.14381489999999, -86.81966790000001)"
24624,350466,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,04/22/2020 02:34:29 PM,04/23/2020 02:34:44 PM,Phone,,,,False,,False,1411 Holly St,NASHVILLE,6.0,37206.0,36.17595729999999,-86.74499639999998,"(36.17595729999999, -86.74499639999999)"
25734,362954,In Progress,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/08/2020 06:51:04 PM,,hubNashville Community,,,,False,,False,1009 Iverson Ave,NASHVILLE,8.0,37216.0,36.2089251,-86.73906389999998,"(36.2089251, -86.73906389999999)"
25997,343227,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,04/09/2020 07:29:52 PM,04/14/2020 12:01:52 PM,hubNashville Community,,,,False,,False,903 Fatherland St,NASHVILLE,6.0,37206.0,36.1732314,-86.7554454,"(36.1732314, -86.7554454)"
27232,362610,Assigned,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/08/2020 03:13:48 PM,,Phone,,,,False,,False,320 Old Hickory Blvd,NASHVILLE,23.0,37221.0,36.090886,-86.91729699999998,"(36.090886, -86.91729699999999)"
27829,426190,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,07/24/2020 09:34:11 PM,07/28/2020 03:42:44 PM,Phone,,,,False,,False,1015 12th Ave S,NASHVILLE,17.0,37203.0,36.14533249999999,-86.7865825,"(36.14533249999999, -86.7865825)"
29157,326930,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/16/2020 01:57:54 PM,03/20/2020 07:27:01 PM,hubNashville Community,,,,False,,False,Vibe Pl,NASHVILLE,5.0,37216.0,36.203652399999996,-86.74219520000001,"(36.2036524, -86.7421952)"
29249,344824,New,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,04/13/2020 01:39:39 PM,,hubNashville Community,,,,False,,False,3126 Boulder Park Dr,NASHVILLE,14.0,37214.0,36.1532206,-86.64676279999998,"(36.1532206, -86.64676279999999)"
31418,376468,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,05/26/2020 04:56:37 PM,05/26/2020 08:13:00 PM,hubNashville Community,,,,False,,False,6212B California Ave,NASHVILLE,20.0,37209.0,36.167449299999994,-86.86283909999999,"(36.1674493, -86.8628391)"
35460,349547,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,04/21/2020 05:43:46 AM,04/25/2020 07:15:17 AM,Mobile App,,,,False,349548.0,False,119 Mason Ave,NASHVILLE,21.0,37203.0,36.14381489999999,-86.81966790000001,"(36.14381489999999, -86.81966790000001)"
35627,345596,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,04/14/2020 03:03:44 PM,05/01/2020 07:14:22 AM,hubNashville Community,,,,False,,False,926 Phillips St,NASHVILLE,19.0,37208.0,36.1719222,-86.79349040000001,"(36.1719222, -86.7934904)"
35862,348583,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,04/19/2020 04:01:51 AM,04/25/2020 07:13:29 AM,Mobile App,,,,False,,False,1737 Pecan St,NASHVILLE,2.0,37208.0,36.18680049999999,-86.8149392,"(36.18680049999999, -86.8149392)"
36071,349148,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,04/20/2020 05:01:11 PM,04/25/2020 07:13:29 AM,Phone,,,,False,348583.0,False,1737 Pecan St,NASHVILLE,2.0,37208.0,36.18680049999999,-86.8149392,"(36.18680049999999, -86.8149392)"
36238,359993,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,05/05/2020 09:50:11 PM,05/07/2020 11:43:47 AM,Phone,,,,False,,False,Holly St,NASHVILLE,6.0,37206.0,36.175654200000004,-86.74395439999998,"(36.1756542, -86.74395439999999)"
36640,346003,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,04/14/2020 09:08:13 PM,04/15/2020 11:18:01 AM,hubNashville Community,,,,False,,False,916 14th Ave N,NASHVILLE,19.0,37208.0,36.16771,-86.79899,"(36.16771, -86.79899)"
37388,93549,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/28/2018 09:41:24 PM,08/29/2018 03:29:10 PM,hubNashville Community,,,,False,,False,2606 Miami Avenue,NASHVILLE,15.0,37214.0,36.23965,-86.70959,"(36.23965, -86.70959)"
38041,446016,In Progress,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/16/2020 06:26:50 PM,,hubNashville Community,,,,False,255792.0,False,716 S 12th St,NASHVILLE,6.0,37206.0,36.1664463,-86.75017209999999,"(36.1664463, -86.7501721)"
38604,99402,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,09/15/2018 12:19:24 AM,06/25/2020 07:13:10 AM,hubNashville Community,,,,False,,False,823 Hillview Heights,NASHVILLE,17.0,37204.0,36.12593,-86.78069,"(36.12593, -86.78069)"
38616,99401,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,09/15/2018 12:15:37 AM,12/05/2018 08:04:35 AM,hubNashville Community,,Resident,,False,,False,422 BROADWAY,NASHVILLE,19.0,37203.0,36.1608260329722,-86.77824879155564,"(36.1608260329722, -86.77824879155563)"
40352,385761,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,06/05/2020 09:07:05 PM,06/09/2020 06:43:00 PM,hubNashville Community,,,,False,,False,1122 Woodvale Dr,NASHVILLE,25.0,37204.0,36.10241389999999,-86.7960095,"(36.10241389999999, -86.7960095)"
41562,382808,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,06/02/2020 11:26:44 PM,06/04/2020 12:34:17 PM,hubNashville Community,,,,False,,False,716 S 12th St,NASHVILLE,6.0,37206.0,36.16645,-86.75017,"(36.16645, -86.75017)"
41718,353769,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,04/27/2020 09:49:31 PM,04/28/2020 06:41:20 PM,hubNashville Community,,,,False,,False,410 E Trinity Ln,NASHVILLE,5.0,37207.0,36.20509210000001,-86.76019769999998,"(36.20509210000001, -86.76019769999999)"
42088,359991,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,05/05/2020 09:49:12 PM,05/07/2020 11:42:57 AM,hubNashville Community,,,,False,,False,1207 Gartland Ave,NASHVILLE,6.0,37206.0,36.17946091161389,-86.74748879325409,"(36.17946091161388, -86.7474887932541)"
43482,354725,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,04/29/2020 01:18:43 PM,05/01/2020 07:17:00 AM,Mobile App,,,,False,354728.0,False,119 Elmhurst Ave,NASHVILLE,5.0,37207.0,36.1962114,-86.77373539999998,"(36.1962114, -86.77373539999999)"
44266,357013,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,05/01/2020 08:24:47 PM,05/04/2020 01:12:17 PM,hubNashville Community,,,,False,,False,1352 Love Joy Ct,NASHVILLE,7.0,37216.0,36.20678,-86.72881,"(36.20678, -86.72881)"
44743,386309,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,06/08/2020 04:50:11 AM,06/08/2020 08:13:53 PM,hubNashville Community,,,,False,,False,405 Avoca St,NASHVILLE,21.0,37203.0,36.14677639999999,-86.8180043,"(36.1467764, -86.8180043)"
44852,438408,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,08/05/2020 06:22:08 PM,08/07/2020 07:09:53 AM,hubNashville Community,,,,False,,False,1504 18th Ave S,NASHVILLE,17.0,37212.0,36.13928029999999,-86.7960257,"(36.13928029999999, -86.7960257)"
45278,357443,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/03/2020 02:46:52 PM,05/13/2020 07:21:19 PM,Mobile App,,,,False,,False,508 S 13th St,,,,36.1702042,-86.7484928,"(36.1702042, -86.7484928)"
45329,357612,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,05/04/2020 12:47:52 AM,05/05/2020 04:08:16 PM,hubNashville Community,,,,False,,False,1610 Wheless St,,,,36.176932,-86.807955,"(36.176932, -86.807955)"
45415,159059,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/25/2019 03:47:13 PM,04/10/2019 07:09:00 AM,hubNashville Community,,,,False,,False,1715B 6th Ave N,NASHVILLE,19.0,37208.0,36.18234899999999,-86.79487110000002,"(36.18234899999999, -86.79487110000002)"
45565,158800,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/24/2019 04:19:34 PM,03/27/2019 08:11:50 AM,hubNashville Community,,,,False,,False,1005 9th Ave S,NASHVILLE,17.0,37203.0,36.14491630000001,-86.780734,"(36.14491630000001, -86.780734)"
45567,158799,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,03/24/2019 04:13:09 PM,04/06/2019 10:18:42 AM,hubNashville Community,,,,False,,False,960 9th Ave S,NASHVILLE,17.0,37203.0,36.1453334,-86.78041429999996,"(36.1453334, -86.78041429999996)"
45688,101922,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,09/21/2018 08:27:06 PM,01/30/2019 08:06:44 AM,hubNashville Community,,,,False,,False,612 Maplewood Ln,NASHVILLE,8.0,37216.0,36.227610999999996,-86.73954300000004,"(36.227611, -86.73954300000003)"
46073,102860,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,09/25/2018 05:31:18 PM,09/25/2018 08:05:57 PM,hubNashville Community,,,,False,,False,2831 Twin Lawn Dr,NASHVILLE,15.0,37214.0,36.1521473,-86.66157159999999,"(36.1521473, -86.6615716)"
47224,104393,Closed,Property Violations,Short Term Rental Complaint,Short Term Rental Complaint,09/29/2018 10:52:11 PM,10/01/2018 01:30:08 PM,Mobile App,,Resident,,False,,False,619A Moore Ave,NASHVILLE,17.0,37203.0,36.13754943561523,-86.77155006676912,"(36.13754943561523, -86.77155006676912)"
50408,369343,Closed,Permits,Short Term Rental Permit,Short Term Rental Permit,05/15/2020 06:58:00 PM,05/18/2020 12:59:55 PM,hubNashville Community,,,,False,,False,9021 Sawyer Brown Rd,NASHVILLE,22.0,37221.0,36.064170000000004,-86.94782,"(36.06417, -86.94782)"
